id,barcode,name,price,stock,description,purchasePrice,categoryId,wholesaPrice,howToSell,isActive,entry,output,imgUrl,stocktaking,minimumstock
620,7.50228E+12,porta lapices Jocar,35,2,porta lapices Jocar,35,5,28,Unidad,1,0,0,default.png,1,1
621,6.95253E+12,Calculadora GD1048B tamaño grande,139,2,Calculadora GD1048B tamaño grande,83.8,5,111.2,Unidad,1,0,0,default.png,1,1
622,7.50221E+12,sobre de plastico tamaño carta MAE,25,2,sobre de plastico tamaño carta MAE,14.5,5,20,Unidad,1,0,0,default.png,1,1
623,7.50221E+12,sobre de plastico tamaño carta Jumbo,25,2,sobre de plastico tamaño carta Jumbo,14.5,5,20,Unidad,1,0,0,default.png,1,1
624,457545454,abaco chico Tamayo,21,5,abaco chico Tamayo,11.5,5,16.8,Unidad,1,0,0,default.png,1,1
625,130141,COLORES PRISMACOLOR LARGOS C/12,175,0,COLORES PRISMACOLOR LARGOS C/12,100,5,140,Unidad,1,0,0,default.png,1,1
626,7.50159E+12,cuaderno profesional 200 hojas,80,0,cuaderno profesional 200 hojas,80,5,64,Unidad,1,0,0,default.png,1,1
627,45465456,tabla fibracel 20 x 20,5,22,tabla fibracel 20 x 20,2.27,5,4,Unidad,1,0,0,default.png,1,1
628,45454543,Papel imprenta,3,47,Papel imprenta,1.5,5,2.4,Unidad,1,0,0,default.png,1,1
629,789966,Papel p/rotafolio,10,15,Papel p/rotafolio,6.65,5,8,Unidad,1,0,0,default.png,1,1
630,7.50101E+12,Masa para moldear tipo play doh,31,0,Masa para moldear tipo play doh,17.85,5,24.8,Unidad,1,0,0,default.png,1,1
631,9.0238E+12,Pegamento escolar Kores 250 G,44,2,Pegamento escolar Kores 250 G,25.45,5,35.2,Unidad,1,0,0,default.png,1,1
632,7.21672E+11,cinta masking tape tuk 12m x 50 m,19,4,cinta masking tape tuk 12m x 50 m,10.84,5,15.2,Unidad,1,0,0,default.png,1,1
633,7.5083E+12,Fichas didacticas,48,6,Fichas didacticas,27.42,5,38.4,Unidad,1,0,0,default.png,1,1
634,70530014860,colores prismacolor c/24 largos,250,1,colores prismacolor c/24 largos,141.8,5,220,Unidad,1,0,0,default.png,1,1
635,70530014815,Colores prismacolor c/12 largos,140,3,Colores prismacolor c/12 largos,80.17,5,112,Unidad,1,0,0,default.png,1,1
636,7.75084E+12,Lapices de colores pelikan c/24 largos,166,0,Lapices de colores pelikan c/24 largos,94.92,5,132.8,Unidad,1,0,0,default.png,1,1
637,7.75084E+12,Lapices de colores pelikan c/12 triangular,80,2,Lapices de colores pelikan c/12 triangular,45.81,5,64,Unidad,1,0,0,default.png,1,1
638,7.50303E+12,cable datos 2 m v8,40,-1,cable datos 2 m v8,25,9,35,Unidad,1,0,0,default.png,1,1
639,7.50121E+12,Sobre con hilo de plastico tamaño oficio barrilito,34,7,Sobre con hilo de plastico tamaño oficio barrilito,20.05,5,27.2,Unidad,1,0,0,default.png,1,1
640,7.87988E+11,libro jumbo para colorear,78,0,libro jumbo para colorear,44.08,5,62.4,Unidad,1,0,0,default.png,1,1
641,4.54646E+18,Marcador pintarron Magistral,29,7,Marcador pintarron Magistral,17,5,23.2,Unidad,1,0,0,default.png,1,1
642,7.50094E+12,AUDIFONOS BLUETOOTH il2SB,85,8,AUDIFONOS BLUETOOTH il2SB,39,9,54.6,Unidad,1,0,0,default.png,1,1
643,7.50094E+12,AUDIFONOS BLUETOOTH il2SP,85,2,AUDIFONOS BLUETOOTH il2SP,39,9,54.6,Unidad,1,0,0,default.png,1,1
644,7.50094E+12,AUDIFONOS BLUETOOTH il2SL,85,6,AUDIFONOS BLUETOOTH il2SL,39,9,54.6,Unidad,1,0,0,default.png,1,1
645,7.50094E+12,AUDIFONOS BLUETOOTH il2F,85,2,AUDIFONOS BLUETOOTH il2F,39,9,54.6,Unidad,1,0,0,default.png,1,1
646,7.50094E+12,AUDIFONOS BLUETOOTH,85,7,AUDIFONOS BLUETOOTH,39,9,54.6,Unidad,1,0,0,default.png,1,1
647,7.50094E+12,AUDIFONOS BLUETOOTH il2SG,85,6,AUDIFONOS BLUETOOTH il2SG,39,9,54.6,Unidad,1,0,0,default.png,1,1
648,7.50094E+12,AUDIFONOS BLUETOOTH il2SD,85,8,AUDIFONOS BLUETOOTH il2SD,39,9,54.6,Unidad,1,0,0,default.png,1,1
649,7.50094E+12,AUDIFONOS BLUETOOTH il2SN,85,26,AUDIFONOS BLUETOOTH il2SN,29,9,40.6,Unidad,1,0,0,default.png,1,1
650,7.50094E+12,AUDIFONOS BLUETOOTH il2,85,21,AUDIFONOS BLUETOOTH il2,37.5,9,52.5,Unidad,1,0,0,default.png,1,1
651,6.93955E+12,Memoria micro SD imou,90,2,Memoria micro SD imou,30,9,42,Unidad,1,0,0,default.png,1,1
652,7.5051E+12,Audifonos manos libre Xinmi XR3119,25,0,Audifonos manos libre Xinmi XR3119,12,9,16.8,Unidad,1,0,0,default.png,1,1
653,6.9729E+12,Combo cargador nebro doble entraga 20w,90,0,Combo cargador nebro doble entraga 20w,45,9,63,Unidad,1,0,0,default.png,1,1
654,6.97437E+12,Cable tipo C 1 hora CAB164,30,-2,Cable tipo C 1 hora CAB164,9.5,9,13.3,Unidad,1,0,0,default.png,1,1
655,6.97437E+12,Cable de datos v8 1 hora,30,-3,Cable de datos v8 1 hora,9.5,9,13.3,Unidad,1,0,0,default.png,1,1
656,6.97437E+12,Cable datos IP 1 hora CAB187,30,-6,Cable datos IP 1 hora CAB187,11.5,9,16.1,Unidad,1,0,0,default.png,1,1
657,6.93185E+12,Memoria USB 16 GB HIKVISION,90,2,Memoria USB 16 GB HIKVISION,50,9,70,Unidad,1,0,0,default.png,1,1
658,7.50303E+12,CABLE V8 1m MARCA 1 HORA,30,0,CABLE V8 1m MARCA 1 HORA,10,9,14,Unidad,1,0,0,default.png,1,1
659,7.50303E+12,Combo Cargador tipo C 1 hora gar142,65,-2,Combo Cargador tipo C 1 hora gar142,32,9,44.8,Unidad,1,0,0,default.png,1,1
660,7.50094E+12,AUDIFONOS BLUETOOTH il2SY,85,0,AUDIFONOS BLUETOOTH il2SY,39,9,54.6,Unidad,1,0,0,default.png,1,1
661,7.5051E+12,Audifonos manos libres  XR-3116,25,1,Audifonos manos libres  XR-3116,8,9,11.2,Unidad,1,0,0,default.png,1,1
662,7.5051E+12,Diadema bluetooth xr-3219,160,-3,Diadema bluetooth xr-3219,83,9,116.2,Unidad,1,0,0,default.png,1,1
663,48,audifonos diadema xr3311,95,1,audifonos diadema xr3311,48,9,67.2,Unidad,1,0,0,default.png,1,1
664,7.5051E+12,diadema manos libres xr-3311,95,-2,diadema manos libres xr-3311,48,9,67.2,Unidad,1,0,0,default.png,1,1
665,7.503E+12,Tijera escolar jocar,13,-5,Tijera escolar jocar,7.8,5,10.4,Unidad,1,0,0,default.png,1,1
666,7.50228E+12,regla flexible shely  mod: j73007,21,6,regla flexible shely  mod: j73007,12.2,5,16.8,Unidad,1,0,0,default.png,1,1
